RefDes X (mil) Y (mil) Rotate Value Type
C5 350 1383.5 90 47p CAP_0603
C4 275 1383.5 90 47p CAP_0603
C1 321 1925 0 0.1u CAP_0603
C2 321 1850 0 4.7u CAP_0603
C3 321 1775 0 0.1u CAP_0603
C6 662.5 1179 270 0.1u CAP_0603
C7 584.7 1023.6 0 1u CAP_0603
C8 983.5 1475 180 4.7u CAP_0603
C10 1583.5 2050 0 0.1u CAP_0603
C11 1583.5 1975 0 1u CAP_0603
C12 1583.5 1900 0 1u CAP_0603
C13 1583.5 1825 0 0.1u CAP_0603
C9 991.5 1025 180 4.7u CAP_0603
C14 1779 2050 180 1u CAP_0603
C17 1496.5 924.8 90 1u CAP_0603
C18 1571.5 924.8 90 1u CAP_0603
C19 1646.5 924.8 90 1u CAP_0603
C20 1721.5 924.8 90 1u CAP_0603
C21 1796.5 924.8 90 3.3u CAP_0603
C22 1871.5 924.8 90 0.1u CAP_0603
C23 1946.5 924.8 90 4.7u CAP_0603
D1 981.7 1575 180 5.42v TUNNEL
IC1 316.7 1610.4 0  FT230X
IC2 781.3 1750 0  ISO7221
CN1 423.2 481.1 0  1734086-1
L1 987.8 1250 0 100u IND
R5 2050 2604 180 1k RES_0603
R7 2050 2429 180 1k RES_0603
Q1 553.1 1175.2 270  IRLML6401
Q3 2027.6 3000 0  TMOSN
Q2 2264.3 1071.4 0  TMOSN
R1 200 1383.5 90 27 RES_0603
R2 425 1383.5 90 27 RES_0603
R3 557.1 1378 180 1k RES_0603
R4 557.1 1299.2 180 100k RES_0603
R16 3287.5 1497.7 180 0.05 RES_2512
R11 2050 2008.5 180 100 RES_0603
R9 2050 2258.5 0 100k RES_0603
R10 2050 2183.5 180 1.69k RES_0603
R15 2375 1033.8 270 100 RES_0603
R12 2050 1846 0 10k RES_0603
IC3 1683.3 2291.3 180  CY8C424xPVI
CN2 2006.1 628.8 180  FFC-ERC16064
X1 801.2 905.5 0  RBE
SW1 3575.8 317.4 270  PEC16-xxxxF-Sxxx
R14 2352.2 862.5 270  POT
C16 2050 1921 180 0.1u CAP_0603
R13 2152.5 1071.3 90 10k RES_0603
D2 2067.6 2100 0  PTVS3V3S1UR
CN3 1550 2650 180  TC2030-CTX
R8 2050 2341.5 180 1k RES_0603
R6 2050 2516.5 180 255k RES_0603
C15 2208.5 2337.5 0 0.1u CAP_0603
U1 600 2443.7 270  rlpro_exp
U2 2125 925 180  TC1014_CT713
C24 2237.5 925 270 1u CAP_0603
C25 2012.5 925 90 1u CAP_0603
R17 2034.7 785.4 90  YC164
D3 2080.1 1775 0  PTVS3V3S1UR
J1 315.4 2000 0  Closed Jumper
J5 315.4 2087.5 0  Closed Jumper
R18 2050 1696 0 100 RES_0603
CN4 1450 2850 180  JTAG-10PIN
